k	Contig_NGA50	Contig_breakpoints	Scaffold_NGA50	Scaffold_breakpoints	Total_breakpoints
96	25315	1701	2770471	1035	2736
112	28352	1797	3285224	1023	2820
128	28674	1841	3827937	1125	2966
136	30070	1834	4016864	1077	2911
140	29597	1846	3900219	1076	2922
142	29388	1860	4151163	1088	2948
143	29200	1879	4288412	1078	2957
144	29116	1938	4359107	1056	2994
145	28936	1916	4204022	1057	2973
146	28753	1933	4323844	1059	2992
148	28491	1921	4060863	1129	3050
152	27678	1925	4015080	1152	3077
160	26076	1920	3585587	1217	3137
176	24394	2043	2915888	1319	3362
192	19924	2046	2108541	1625	3671
