n	n:500	L50	LG50	NG50	min	N80	N50	N20	E-size	max	sum	name
963938	64045	27	31	30.93e6	500	13.48e6	32.45e6	58.18e6	37.5e6	110.5e6	2.794e9	aggressive-B1-N1/hsapiens-scaffolds.fa
963968	64074	21	25	32.45e6	500	14e6	35.55e6	85.35e6	47.65e6	116.8e6	2.794e9	aggressive-B1-N2/hsapiens-scaffolds.fa
964008	64115	34	40	20.77e6	500	8707054	25.38e6	51.05e6	29.8e6	108.3e6	2.794e9	aggressive-B1-N3/hsapiens-scaffolds.fa
963939	64046	27	31	30.93e6	500	13.01e6	32.45e6	58.18e6	37.36e6	108.8e6	2.794e9	aggressive-B2-N1/hsapiens-scaffolds.fa
963969	64075	21	25	32.45e6	500	14e6	35.55e6	85.35e6	47.52e6	116.8e6	2.794e9	aggressive-B2-N2/hsapiens-scaffolds.fa
964008	64115	34	40	20.77e6	500	8707054	25.38e6	51.05e6	29.8e6	108.3e6	2.794e9	aggressive-B2-N3/hsapiens-scaffolds.fa
964052	64159	32	38	22.88e6	500	8866074	27.12e6	48.96e6	31.34e6	108e6	2.794e9	aggressive-B3-N1/hsapiens-scaffolds.fa
964131	64237	34	40	21.87e6	500	8075742	26.32e6	48.96e6	30.17e6	108e6	2.794e9	aggressive-B3-N2/hsapiens-scaffolds.fa
964093	64200	37	46	16.46e6	500	6935546	20.28e6	41.59e6	27.37e6	108e6	2.794e9	aggressive-B3-N3/hsapiens-scaffolds.fa
964034	64141	31	37	23.85e6	500	10.02e6	27.12e6	56.04e6	30.97e6	76.71e6	2.794e9	default-B1-N1/hsapiens-scaffolds.fa
964069	64175	27	32	24.74e6	500	10.4e6	29.61e6	71.35e6	37.23e6	107.7e6	2.794e9	default-B1-N2/hsapiens-scaffolds.fa
964101	64208	41	49	16.95e6	500	6935546	19.25e6	40.72e6	24.31e6	71.35e6	2.794e9	default-B1-N3/hsapiens-scaffolds.fa
964035	64142	31	37	23.85e6	500	10.02e6	27.12e6	56.04e6	30.97e6	76.71e6	2.794e9	default-B2-N1/hsapiens-scaffolds.fa
964070	64176	27	32	24.74e6	500	10.4e6	29.61e6	71.35e6	37.23e6	107.7e6	2.794e9	default-B2-N2/hsapiens-scaffolds.fa
964101	64208	41	49	16.95e6	500	6935546	19.25e6	40.72e6	24.31e6	71.35e6	2.794e9	default-B2-N3/hsapiens-scaffolds.fa
964132	64239	38	45	16.94e6	500	7013460	20.78e6	46.66e6	26.14e6	71.35e6	2.794e9	default-B3-N1/hsapiens-scaffolds.fa
964211	64317	39	48	16.08e6	500	6768156	20.57e6	46.57e6	25.06e6	71.35e6	2.794e9	default-B3-N2/hsapiens-scaffolds.fa
964172	64279	45	55	14.37e6	500	6026539	16.46e6	38.35e6	22.44e6	71.35e6	2.794e9	default-B3-N3/hsapiens-scaffolds.fa
